Population	SampSize	Pcrit	WeightedMean	IndAlleles	r^2	Exp(r^2)	Ne	ParametricLow	ParametricHigh	JacknifeLow	JacknifeHigh	(Eff.df)
Taga	52	0.05	51.7	1488	0.022274	0.020552	384.5	192.6	3265.9	181	20245.9	1187
Taga	52	0.04	51.6	1961	0.021904	0.020593	505.8	239.7	335436.8	175	  Infinite	726
Taga	52	0.03	51.5	3043	0.021591	0.020613	679.4	314	  Infinite	227	  Infinite	1100
Taga	52	0.02	51.5	5555	0.021354	0.020612	896.5	425.1	  Infinite	274.2	  Infinite	1414
Taga	52	 No S*	51.5	10728	0.021628	0.0206	645.8	409.2	1444.6	220.4	  Infinite	1066
Muaiv	54	0.05	53.6	1778	0.019732	0.019749	-38226.4	492.3	  Infinite	169.6	  Infinite	260
Muaiv	54	0.04	53.7	2533	0.01971	0.019733	-29130.9	598.2	  Infinite	211.6	  Infinite	380
Muaiv	54	0.03	53.7	3482	0.019604	0.019731	-5254.6	802.9	  Infinite	338.4	  Infinite	794
Muaiv	54	0.02	53.7	6011	0.019788	0.019716	9196.3	831.2	  Infinite	366.7	  Infinite	1138
Muaiv	54	 No S*	53.7	10236	0.019971	0.019724	2702.8	825.4	  Infinite	361.2	  Infinite	1368
Nadi	51	0.05	50.5	1978	0.021852	0.021036	814.4	294.3	  Infinite	226.6	  Infinite	963
Nadi	51	0.04	50.6	2656	0.021631	0.021018	1084.4	362.5	  Infinite	285.2	  Infinite	1391
Nadi	51	0.03	50.5	3859	0.021823	0.021044	852.6	370.4	  Infinite	285.1	  Infinite	1717
Nadi	51	0.02	50.4	6659	0.021292	0.02107	3005.4	689	  Infinite	520.7	  Infinite	3384
Nadi	51	 No S*	50.6	9089	0.02168	0.021006	987.5	503.2	11794.5	368.6	  Infinite	3094
