Output from NeEstimator v2.1
Starting time: Mon Mar 14 17:33:22 2022
Input File: "Daruanus_All_8locus.gen"

Number of Loci = 8


LINKAGE DISEQUILIBRIUM METHOD, Mating Model: Monogamy

Lowest allele frequencies used:     0.0500    0.0400    0.0300    0.0200    0.0100
Up to 17 rightmost characters are shown for Population name.
-------------------------------------------------------------
                   	         	      	             	            	         	          	         	    Parametric CI		    Jackknife CI
Population [#:Name]	Samp Size	PCrit.	Weighted Mean	Ind. Alleles	    r^2  	  Exp(r^2)	     Ne  	       Low	      High	       Low	      High	  (Eff.df)
19:Taka_Taka1      	     30  	0.0500	      29.7   	      1039  	 0.040009	  0.037227	    220.0	      93.5	  Infinite	      79.0	  Infinite	       625
                   	         	0.0400	      29.7   	      1039  	 0.040009	  0.037227	    220.0	      93.5	  Infinite	      79.0	  Infinite	       625
                   	         	0.0300	      29.8   	      1585  	 0.038172	  0.037159	    607.9	     159.8	  Infinite	     137.7	  Infinite	      1098
                   	         	0.0200	      29.8   	      1585  	 0.038172	  0.037159	    607.9	     159.8	  Infinite	     137.7	  Infinite	      1098
                   	         	0.0100	      29.8   	      3352  	 0.038109	  0.037179	    662.5	     216.8	  Infinite	     183.6	  Infinite	      2129
20:Tave_Tave1      	     50  	0.0500	      50.0   	      1076  	 0.023072	  0.021276	    368.5	     169.2	  Infinite	     136.5	  Infinite	       549
                   	         	0.0400	      50.0   	      1603  	 0.022409	  0.021276	    585.7	     238.0	  Infinite	     199.5	  Infinite	       947
                   	         	0.0300	      50.0   	      2680  	 0.022138	  0.021276	    770.9	     315.2	  Infinite	     277.4	  Infinite	      1805
                   	         	0.0200	      50.0   	      3464  	 0.022223	  0.021276	    701.1	     325.3	  Infinite	     293.8	  Infinite	      2443
                   	         	0.0100	      50.0   	      7636  	 0.021280	  0.021276	 155506.7	     955.5	  Infinite	     693.1	  Infinite	      4086
21:Tem_Tem1        	     64  	0.0500	      64.0   	       916  	 0.016967	  0.016404	   1181.9	     296.2	  Infinite	     266.1	  Infinite	       707
                   	         	0.0400	      64.0   	      1176  	 0.016853	  0.016404	   1481.8	     348.4	  Infinite	     311.7	  Infinite	       901
                   	         	0.0300	      64.0   	      1983  	 0.016443	  0.016404	  16844.4	     596.2	  Infinite	     442.9	  Infinite	      1113
                   	         	0.0200	      64.0   	      2593  	 0.016139	  0.016404	  -2518.0	    1021.7	  Infinite	     770.0	  Infinite	      1742
                   	         	0.0100	      64.0   	      3808  	 0.016498	  0.016404	   7106.1	     771.9	  Infinite	     619.1	  Infinite	      2383
22:Ten_Ten1        	     52  	0.0500	      52.0   	       766  	 0.021132	  0.020411	    921.7	     218.9	  Infinite	     163.4	  Infinite	       394
                   	         	0.0400	      52.0   	      1128  	 0.021472	  0.020411	    625.6	     223.3	  Infinite	     163.0	  Infinite	       491
                   	         	0.0300	      52.0   	      2124  	 0.020695	  0.020411	   2338.7	     417.1	  Infinite	     298.1	  Infinite	      1009
                   	         	0.0200	      52.0   	      3724  	 0.020779	  0.020411	   1805.7	     492.7	  Infinite	     382.7	  Infinite	      1971
                   	         	0.0100	      52.0   	      7258  	 0.020570	  0.020411	   4173.3	     785.6	  Infinite	     744.4	  Infinite	      6385
23:Tetia_Tetia1    	     52  	0.0500	      52.0   	       800  	 0.020995	  0.020411	   1138.7	     235.1	  Infinite	     162.1	  Infinite	       356
                   	         	0.0400	      52.0   	       909  	 0.020713	  0.020411	   2200.2	     281.3	  Infinite	     214.4	  Infinite	       520
                   	         	0.0300	      52.0   	      1396  	 0.020492	  0.020411	   8205.1	     391.6	  Infinite	     328.9	  Infinite	       993
                   	         	0.0200	      52.0   	      2208  	 0.021145	  0.020411	    905.4	     324.2	  Infinite	     262.5	  Infinite	      1225
                   	         	0.0100	      52.0   	      3267  	 0.020548	  0.020411	   4847.2	     566.4	  Infinite	     421.3	  Infinite	      1745
24:Tote_Tote1      	     53  	0.0500	      53.0   	       694  	 0.019538	  0.020004	  -1435.9	     374.9	  Infinite	     237.8	  Infinite	       353
                   	         	0.0400	      53.0   	      1126  	 0.019840	  0.020004	  -4070.2	     418.5	  Infinite	     201.0	  Infinite	       326
                   	         	0.0300	      53.0   	      2131  	 0.020150	  0.020004	   4534.8	     468.8	  Infinite	     222.4	  Infinite	       480
                   	         	0.0200	      53.0   	      3833  	 0.020282	  0.020004	   2395.4	     544.8	  Infinite	     409.5	  Infinite	      1940
                   	         	0.0100	      53.0   	      8302  	 0.019930	  0.020004	  -9089.5	    1215.8	  Infinite	     814.6	  Infinite	      4124
25:Yanu_Yanu1      	     47  	0.0500	      47.0   	       879  	 0.021754	  0.022721	   -692.5	     543.8	  Infinite	     365.9	  Infinite	       566
                   	         	0.0400	      47.0   	      1356  	 0.023616	  0.022721	    742.1	     237.2	  Infinite	     162.1	  Infinite	       522
                   	         	0.0300	      47.0   	      2221  	 0.023057	  0.022721	   1980.6	     377.2	  Infinite	     255.8	  Infinite	       934
                   	         	0.0200	      47.0   	      3459  	 0.022957	  0.022721	   2822.5	     488.4	  Infinite	     426.0	  Infinite	      2532
                   	         	0.0100	      47.0   	      6969  	 0.022401	  0.022721	  -2090.8	    1500.3	  Infinite	     815.6	  Infinite	      3230

Ending time: Mon Mar 14 17:33:24 2022
-------------------------------------

