Population	Samp Size	PCrit.	Weighted Mean	Ind. Alleles	    r^2  	  Exp(r^2)	     Ne  	ParametricLow	ParametricHigh	JacknifeLow	JacknifeHigh	Eff.df
Tem_Tem1        	64	0.05	64	916	0.016967	0.016404	1181.9	296.2	  Infinite	266.1	  Infinite	707
Tem_Tem2	         	0.04	64	1176	0.016853	0.016404	1481.8	348.4	  Infinite	311.7	  Infinite	901
Tem_Tem3	         	0.03	64	1983	0.016443	0.016404	16844.4	596.2	  Infinite	442.9	  Infinite	1113
Tem_Tem4	         	0.02	64	2593	0.016139	0.016404	-2518	1021.7	  Infinite	770	  Infinite	1742
Tem_Tem5	         	 No S*	64	3808	0.016498	0.016404	7106.1	771.9	  Infinite	619.1	  Infinite	2383
Ten_Ten1        	52	0.05	52	766	0.021132	0.020411	921.7	218.9	  Infinite	163.4	  Infinite	394
Ten_Ten2	         	0.04	52	1128	0.021472	0.020411	625.6	223.3	  Infinite	163	  Infinite	491
Ten_Ten3	         	0.03	52	2124	0.020695	0.020411	2338.7	417.1	  Infinite	298.1	  Infinite	1009
Ten_Ten4	         	0.02	52	3724	0.020779	0.020411	1805.7	492.7	  Infinite	382.7	  Infinite	1971
Ten_Ten5	         	 No S*	52	7258	0.02057	0.020411	4173.3	785.6	  Infinite	744.4	  Infinite	6385
Tetia_Tetia1    	52	0.05	52	800	0.020995	0.020411	1138.7	235.1	  Infinite	162.1	  Infinite	356
Tetia_Tetia2	         	0.04	52	909	0.020713	0.020411	2200.2	281.3	  Infinite	214.4	  Infinite	520
Tetia_Tetia3	         	0.03	52	1396	0.020492	0.020411	8205.1	391.6	  Infinite	328.9	  Infinite	993
Tetia_Tetia4	         	0.02	52	2208	0.021145	0.020411	905.4	324.2	  Infinite	262.5	  Infinite	1225
Tetia_Tetia5	         	 No S*	52	3267	0.020548	0.020411	4847.2	566.4	  Infinite	421.3	  Infinite	1745
Tote_Tote1      	53	0.05	53	694	0.019538	0.020004	-1435.9	374.9	  Infinite	237.8	  Infinite	353
Tote_Tote2	         	0.04	53	1126	0.01984	0.020004	-4070.2	418.5	  Infinite	201	  Infinite	326
Tote_Tote3	         	0.03	53	2131	0.02015	0.020004	4534.8	468.8	  Infinite	222.4	  Infinite	480
Tote_Tote4	         	0.02	53	3833	0.020282	0.020004	2395.4	544.8	  Infinite	409.5	  Infinite	1940
Tote_Tote5	         	 No S*	53	8302	0.01993	0.020004	-9089.5	1215.8	  Infinite	814.6	  Infinite	4124
Yanu_Yanu1      	47	0.05	47	879	0.021754	0.022721	-692.5	543.8	  Infinite	365.9	  Infinite	566
Yanu_Yanu2	         	0.04	47	1356	0.023616	0.022721	742.1	237.2	  Infinite	162.1	  Infinite	522
Yanu_Yanu3	         	0.03	47	2221	0.023057	0.022721	1980.6	377.2	  Infinite	255.8	  Infinite	934
Yanu_Yanu4	         	0.02	47	3459	0.022957	0.022721	2822.5	488.4	  Infinite	426	  Infinite	2532
Yanu_Yanu5	         	 No S*	47	3459	0.022957	0.022721	2822.5	488.4	  Infinite	426	  Infinite	2532
