Sample, Locality
Mata_Mata4_99,Matacawalevu
Mata_Mata5_100,Matacawalevu
Muaiv_Muai,Muaivsuso
Muaiv_Muai_102,Muaivsuso
Muaiv_Muai_103,Muaivsuso
Muaiv_Muai_104,Muaivsuso
Muaiv_Muai_105,Muaivsuso
Muaiv_Muai_106,Muaivsuso
Muaiv_Muai_107,Muaivsuso
Muaiv_Muai_108,Muaivsuso
Muaiv_Muai_109,Muaivsuso
Muaiv_Muai_110,Muaivsuso
Muaiv_Muai_111,Muaivsuso
Muaiv_Muai_112,Muaivsuso
Muaiv_Muai_113,Muaivsuso
Muaiv_Muai_114,Muaivsuso
Muaiv_Muai_115,Muaivsuso
Muaiv_Muai_116,Muaivsuso
Muaiv_Muai_117,Muaivsuso
Muaiv_Muai_118,Muaivsuso
Muaiv_Muai_119,Muaivsuso
Muaiv_Muai_120,Muaivsuso
Muaiv_Muai_121,Muaivsuso
Muaiv_Muai_122,Muaivsuso
Muaiv_Muai_123,Muaivsuso
Muaiv_Muai_124,Muaivsuso
Muaiv_Muai_125,Muaivsuso
Muaiv_Muai_126,Muaivsuso
Muaiv_Muai_127,Muaivsuso
Muaiv_Muai_128,Muaivsuso
Muaiv_Muai_129,Muaivsuso
Muaiv_Muai_130,Muaivsuso
Muaiv_Muai_131,Muaivsuso
Muaiv_Muai_132,Muaivsuso
Muaiv_Muai_133,Muaivsuso
Muaiv_Muai_134,Muaivsuso
Muaiv_Muai_135,Muaivsuso
Muaiv_Muai_136,Muaivsuso
Muaiv_Muai_137,Muaivsuso
Muaiv_Muai_138,Muaivsuso
Muaiv_Muai_139,Muaivsuso
Muaiv_Muai_140,Muaivsuso
Muaiv_Muai_141,Muaivsuso
Muaiv_Muai_142,Muaivsuso
Muaiv_Muai_143,Muaivsuso
Muaiv_Muai_144,Muaivsuso
Muaiv_Muai_145,Muaivsuso
Muaiv_Muai_146,Muaivsuso
Muaiv_Muai_147,Muaivsuso
Muaiv_Muai_148,Muaivsuso
Muaiv_Muai_149,Muaivsuso
Muaiv_Muai_150,Muaivsuso
Muaiv_Muai_151,Muaivsuso
Muaiv_Muai_152,Muaivsuso
Muaiv_Muai_153,Muaivsuso
Muaiv_Muai_154,Muaivsuso
Nadi_Nadi1,Nadi
Nadi_Nadi2,Nadi
Nadi_Nadi3,Nadi
Nadi_Nadi4,Nadi
Nadi_Nadi5,Nadi
Nadi_Nadi7,Nadi
Nadi_Nadi8,Nadi
Nadi_Nadi9,Nadi
Nadi_Nadi1_163,Nadi
Nadi_Nadi1_164,Nadi
Nadi_Nadi1_165,Nadi
Nadi_Nadi1_166,Nadi
Nadi_Nadi1_167,Nadi
Nadi_Nadi1_168,Nadi
Nadi_Nadi1_169,Nadi
Nadi_Nadi1_170,Nadi
Nadi_Nadi1_171,Nadi
Nadi_Nadi1_172,Nadi
Nadi_Nadi2_173,Nadi
Nadi_Nadi2_174,Nadi
Nadi_Nadi2_175,Nadi
Nadi_Nadi2_176,Nadi
Nadi_Nadi2_177,Nadi
Nadi_Nadi2_178,Nadi
Nadi_Nadi2_179,Nadi
Nadi_Nadi2_180,Nadi
Nadi_Nadi2_181,Nadi
Nadi_Nadi3_182,Nadi
Nadi_Nadi3_183,Nadi
Nadi_Nadi3_184,Nadi
Nadi_Nadi3_185,Nadi
Nadi_Nadi3_186,Nadi
Nadi_Nadi3_187,Nadi
Nadi_Nadi3_188,Nadi
Nadi_Nadi3_189,Nadi
Nadi_Nadi3_190,Nadi
Nadi_Nadi3_191,Nadi
Nadi_Nadi4_192,Nadi
Nadi_Nadi4_193,Nadi
Nadi_Nadi4_194,Nadi
Nadi_Nadi4_195,Nadi
Nadi_Nadi4_196,Nadi
Nadi_Nadi4_197,Nadi
Nadi_Nadi4_198,Nadi
Nadi_Nadi4_199,Nadi
Nadi_Nadi4_200,Nadi
Nadi_Nadi4_201,Nadi
Nadi_Nadi5_202,Nadi
Nadi_Nadi5_203,Nadi
Nadi_Nadi5_204,Nadi
Nadi_Nadi5_205,Nadi
Suva_Suva1,Suva
Suva_Suva2,Suva
Suva_Suva3,Suva
Suva_Suva4,Suva
Suva_Suva5,Suva
Suva_Suva6,Suva
Suva_Suva7,Suva
Suva_Suva8,Suva
Suva_Suva9,Suva
Suva_Suva1_215,Suva
Suva_Suva1_216,Suva
Suva_Suva1_217,Suva
Suva_Suva1_218,Suva
Suva_Suva1_219,Suva
Suva_Suva1_220,Suva
Suva_Suva1_221,Suva
Suva_Suva1_222,Suva
Suva_Suva1_223,Suva
Suva_Suva1_224,Suva
Suva_Suva2_225,Suva
Suva_Suva2_226,Suva
Suva_Suva2_227,Suva
Suva_Suva2_228,Suva
Suva_Suva2_229,Suva
Suva_Suva2_230,Suva
Suva_Suva2_231,Suva
Suva_Suva2_232,Suva
Suva_Suva2_233,Suva
Suva_Suva2_234,Suva
Suva_Suva3_235,Suva
Suva_Suva3_236,Suva
Suva_Suva3_237,Suva
Suva_Suva3_238,Suva
Suva_Suva3_239,Suva
Suva_Suva3_240,Suva
Suva_Suva3_241,Suva
Suva_Suva3_242,Suva
Suva_Suva3_243,Suva
Suva_Suva3_244,Suva
Suva_Suva4_245,Suva
Suva_Suva4_246,Suva
Suva_Suva4_247,Suva
Suva_Suva4_248,Suva
Suva_Suva4_249,Suva
Suva_Suva4_250,Suva
Suva_Suva4_251,Suva
Suva_Suva4_252,Suva
Suva_Suva4_253,Suva
Suva_Suva4_254,Suva
Suva_Suva5_255,Suva
Suva_Suva5_256,Suva
Suva_Suva5_257,Suva
Suva_Suva5_258,Suva
Suva_Suva5_259,Suva
Suva_Suva5_260,Suva
Suva_Suva5_261,Suva
Tave_Tave1,Tavewa
Tave_Tave2,Tavewa
Tave_Tave3,Tavewa
Tave_Tave4,Tavewa
Tave_Tave5,Tavewa
Tave_Tave6,Tavewa
Tave_Tave7,Tavewa
Tave_Tave8,Tavewa
Tave_Tave9,Tavewa
Tave_Tave1_271,Tavewa
Tave_Tave1_272,Tavewa
Tave_Tave1_273,Tavewa
Tave_Tave1_274,Tavewa
Tave_Tave1_275,Tavewa
Tave_Tave1_276,Tavewa
Tave_Tave1_277,Tavewa
Tave_Tave1_278,Tavewa
Tave_Tave1_279,Tavewa
Tave_Tave1_280,Tavewa
Tave_Tave2_281,Tavewa
Tave_Tave2_282,Tavewa
Tave_Tave2_283,Tavewa
Tave_Tave2_284,Tavewa
Tave_Tave2_285,Tavewa
Tave_Tave2_286,Tavewa
Tave_Tave2_287,Tavewa
Tave_Tave2_288,Tavewa
Tave_Tave2_289,Tavewa
Tave_Tave2_290,Tavewa
Tave_Tave3_291,Tavewa
Tave_Tave3_292,Tavewa
Tave_Tave3_293,Tavewa
Tave_Tave3_294,Tavewa
Tave_Tave3_295,Tavewa
Tave_Tave3_296,Tavewa
Tave_Tave3_297,Tavewa
Tave_Tave3_298,Tavewa
Tave_Tave3_299,Tavewa
Tave_Tave3_300,Tavewa
Tave_Tave4_301,Tavewa
Tave_Tave4_302,Tavewa
Tave_Tave4_303,Tavewa
Tave_Tave4_304,Tavewa
Tave_Tave4_305,Tavewa
Tave_Tave4_306,Tavewa
Tave_Tave4_307,Tavewa
Tave_Tave4_308,Tavewa
Tave_Tave4_309,Tavewa
Tave_Tave4_310,Tavewa
Tave_Tave5_311,Tavewa
Yanu_Yanu1,Yanuca
Yanu_Yanu2,Yanuca
Yanu_Yanu3,Yanuca
Yanu_Yanu4,Yanuca
Yanu_Yanu5,Yanuca
Yanu_Yanu6,Yanuca
Yanu_Yanu7,Yanuca
Yanu_Yanu8,Yanuca
Yanu_Yanu9,Yanuca
Yanu_Yanu1_321,Yanuca
Yanu_Yanu1_322,Yanuca
Yanu_Yanu1_323,Yanuca
Yanu_Yanu1_324,Yanuca
Yanu_Yanu1_325,Yanuca
Yanu_Yanu1_326,Yanuca
Yanu_Yanu1_327,Yanuca
Yanu_Yanu1_328,Yanuca
Yanu_Yanu1_329,Yanuca
Yanu_Yanu1_330,Yanuca
Yanu_Yanu2_331,Yanuca
Yanu_Yanu2_332,Yanuca
Yanu_Yanu2_333,Yanuca
Yanu_Yanu2_334,Yanuca
Yanu_Yanu2_335,Yanuca
